rank,word,count
466,consumer,4
467,contract,4
468,cultural,4
469,database,4
470,debunk,4
471,define,4
472,direct,4
473,distinction,4
474,drive,4
475,employer,4
476,environment,4
477,esrc,4
478,european,4
479,event,4
480,eventually,4
481,everybody,4
482,everyone,4
483,experiment,4
484,explain,4
485,familiar,4
486,financial,4
487,fit,4
488,five,4
489,flow,4
490,framework,4
491,front,4
492,fund,4
493,grind,4
494,harm,4
495,improve,4
496,increasingly,4
497,inform,4
498,intelligence,4
499,intent,4
500,interaction,4
501,interpret,4
502,lack,4
503,largescale,4
504,let,4
505,limit,4
506,locate,4
507,lose,4
508,maker,4
509,management,4
510,miss,4
511,mobile,4
512,model,4
513,monitor,4
514,naive,4
515,newspaper,4
516,obviously,4
517,offer,4
518,one,4
519,order,4
520,perspective,4
521,photograph,4
522,positive,4
523,possibly,4
524,practical,4
525,profile,4
526,proper,4
527,prove,4
528,purely,4
529,rate,4
530,reasonable,4
531,recent,4
532,relationship,4
533,replace,4
534,request,4
535,requirement,4
536,researcher,4
537,risk,4
538,road,4
539,round,4
540,scientific,4
541,seriously,4
542,seven,4
543,shift,4
544,since,4
545,sit,4
546,sociologist,4
547,sorry,4
548,specific,4
549,square,4
550,statistical,4
551,study,4
552,suddenly,4
553,supply,4
554,survey,4
555,technique,4
556,telephone,4
557,tell,4
558,theory,4
559,thirdparty,4
560,tremendous,4
561,trend,4
562,truth,4
563,unite,4
564,unstructured,4
565,within,4
566,write,4
567,yet,4
568,abuse,3
569,add,3
570,affect,3
571,ahead,3
572,aircraft,3
573,analyse,3
574,app,3
575,argue,3
576,assess,3
577,asymmetry,3
578,audience,3
579,background,3
580,barrier,3
581,basically,3
582,bear,3
583,behind,3
584,being,3
585,beyond,3
586,blog,3
587,board,3
588,body,3
589,bulk,3
590,buy,3
591,camera,3
592,capacity,3
593,card,3
594,caredata,3
595,carry,3
596,cctv,3
597,channel,3
598,circulate,3
599,civil,3
600,clearly,3
601,colleague,3
602,colour,3
603,committee,3
604,common,3
605,complicate,3
606,connect,3
607,consider,3
608,core,3
609,correlation,3
610,corroboration,3
611,count,3
612,couple,3
613,david,3
614,default,3
615,deliberately,3
616,deliver,3
617,detect,3
618,device,3
619,direction,3
620,distrust,3
621,draw,3
622,engineer,3
623,ensure,3
624,entire,3
625,entirely,3
626,essential,3
627,ethically,3
628,ever,3
629,face,3
630,failure,3
631,forget,3
632,forth,3
633,forward,3
634,frame,3
635,frankly,3
636,free,3
637,freely,3
638,friend,3
639,fully,3
640,gap,3
641,ground,3
642,hack,3
643,handle,3
644,hardware,3
645,identifier,3
646,image,3
647,inability,3
648,incredibly,3
649,initial,3
650,initiative,3
651,interoperability,3
652,introduce,3
653,largely,3
654,late,3
655,leak,3
656,leeds,3
657,licence,3
658,life,3
659,light,3
660,line,3
661,live,3
662,mass,3
663,material,3
664,misuse,3
665,mix,3
666,obtain,3
667,operate,3
668,opportunity,3
669,organic,3
670,organise,3
671,orientation,3
672,otherwise,3
673,particularly,3
674,pattern,3
675,personality,3
676,personally,3
677,physical,3
678,pick,3
679,picture,3
680,please,3
681,police,3
682,politic,3
683,political,3
684,position,3
685,potential,3
686,potentially,3
687,precisely,3
688,previous,3
689,produce,3
690,progress,3
691,protocol,3
692,provision,3
693,pub,3
694,publicprivate,3
695,react,3
696,reasonably,3
697,reputation,3
698,result,3
699,retail,3
700,reuse,3
701,roll,3
702,route,3
703,safe,3
704,scenario,3
705,scope,3
706,secret,3
707,selfcorrecting,3
708,sensitivity,3
709,serious,3
710,set,3
711,signal,3
712,single,3
713,smes,3
714,soon,3
715,sound,3
716,status,3
717,steal,3
718,storage,3
719,strategy,3
720,strong,3
721,supermarket,3
722,suspect,3
723,technologist,3
724,text,3
